ra,dec,true_ra,true_dec,gal_ID,gal_off,mag,half_light,loc_off
150.35861798857724,1.9751721117898797,150.35861626081305,1.970036087927698,110012,-0.10135773544850206,22.631351000000002,0.20768786999999997,18.48968694881459
150.13650536379453,2.3697547760847066,150.13568751538403,2.366555066780923,83829,-0.021084233926007393,20.210445,0.10690253999999999,11.888655191987377
150.09481153099844,2.3632100571047516,150.09426859648468,2.3613206334437034,77162,0.08892187697218393,23.040236,0.18329771999999997,7.076723623206021
150.641937084787,2.80402315961893,150.64241110603172,2.8029721196605557,152005,0.07783405334364271,19.937275,0.13605963,4.149917239178757
149.8855668648209,1.7515462928410601,149.88542390829915,1.753465619762307,49630,-0.09885579888941176,21.368891,0.25249928999999993,6.928698532930041
149.63389042806264,2.108394140472958,149.6338738610676,2.11581353302022,17742,-0.024453304368681362,18.115051,0.12692382000000002,26.709879666952844
150.63200314152056,1.6648368472083082,150.63080969260582,1.6599374138563547,1037246,-0.06626039217085462,24.598489999999998,0.20237616,18.153272201154937
150.45841309533103,1.8183263274678982,150.45773042000633,1.8187755363766949,129247,0.015424011464475,21.821756,0.1471593,2.9409265767336064
150.46066177126187,2.3479102723450773,150.4606436141345,2.3465692156336626,127937,0.030295680462926525,22.478855,0.12227436,4.828245905126172
150.00992701746006,2.698096714492889,150.01102111283402,2.692865507551632,64690,-0.04485416173217653,21.75453,0.14001551999999998,19.238934658174756
150.40542508564516,2.5100906623115726,150.4038846766957,2.508885870681489,116560,0.016782719722906573,15.855895,0.105,7.0359820230468895
149.50204930598986,2.7213449824548683,149.50263784114549,2.7175041385468206,4560,-0.06775368266192028,23.993868,0.15011940000000001,13.988062020376447
149.5321003949634,2.444779556949123,149.53355580552414,2.4541476630192105,6111,-0.052135260988592856,20.325277,0.10825173000000002,34.129018123376675
150.6279395745909,1.7478076004436107,150.62714095380431,1.7456618738018057,148551,-0.0034620404895422145,22.521753,0.21285975,8.241834520494098
149.68665423619376,2.042840486311899,149.68636155358055,2.047059363494301,29230,0.04951401348114809,16.404268,0.105,15.224416053217935
150.1354827532055,2.235233290903833,150.13557479504274,2.2415537750221626,659668,0.03757344083332565,25.762293,0.19992096,22.756151659123223
149.54996795927573,2.4774899122855585,149.5485876429222,2.477322156003097,12007,0.06956236271610491,18.507395000000002,0.1074327,5.001092638636497
149.93553599751263,2.2611270718754795,149.93501379290564,2.2577471480793214,54154,-0.06715280844261666,20.122593,0.15146948999999998,12.311872983538192
149.84518846499594,2.841370029924675,149.8431101760019,2.848950739881873,458928,-0.12612999838212302,25.623287,0.21184845,28.295131267957757
150.2460177363719,1.6489055999886677,150.2461769887007,1.6556543078085046,95525,0.03686341622826904,17.838339,0.11542254,24.30210589721843
150.41156173062222,2.4252814569441914,150.41135990161848,2.423646688496538,121583,-0.14036733110636984,22.845772,0.1529631,5.929769294850039
149.66497361072047,2.268969578500601,149.6644919744044,2.271542912910254,299711,-0.061249900726100634,25.878859,0.12984663,9.424618150702141
150.5018485597952,2.8638628372049673,150.50076392993407,2.862128318192096,132398,0.1276201268185647,16.240347,0.105,7.362016029910941
150.4000831044708,2.4452387255378927,150.40141143919658,2.439778009695479,114062,0.1168587865990699,21.037516,0.1205607,20.230810433144224
150.30691636194624,1.9130365080565785,150.3074483791021,1.912576309213011,101120,0.06449304988543093,20.52179,0.11755412999999999,2.531570283355326
149.92847026199357,2.5836913783278534,149.92841242992077,2.592070912886989,55891,0.013253066694937846,16.737301000000002,0.105,30.16704137907744
150.20504470989619,2.8038732056381694,150.2029242805486,2.8060824429823077,93811,0.08064091780629884,22.850454,0.13987515,11.017519175553035
149.90331624397686,1.84474432803828,149.9040859780002,1.8521100193659523,52140,0.00010548220430250405,17.45158,0.105,26.66073638495681
149.68380840488513,2.484247138199385,149.68369628008725,2.4789495307771516,25893,-0.023432695362755062,19.391748,0.12846219,19.07564988933126
150.12517190891913,2.8243212648493237,150.12328622868975,2.8263410598310883,81086,-0.00826453945045712,20.703012,0.11848049999999999,9.941947621792727
150.13708238579852,1.7482832247763367,150.13765988756285,1.7503380507208468,674986,0.045491471362971755,24.832148,0.14249697,7.683708275048633
150.66856288422196,2.6914687054581767,150.66742792999722,2.6916433513444304,1085311,-0.08983396214479926,24.298486999999998,0.13003038,4.1294710923484175
150.28617529316114,1.7260147291063392,150.28467749243094,1.7285846986810487,794945,-0.013041757266203435,24.746267,0.25373985,10.70726930829285
149.73407936006134,1.891156125621522,149.733797208374,1.8885780892597221,32106,0.015349948686157456,23.789661,0.13161140999999998,9.336289220452942
150.50412758296963,2.1119206312635295,150.5065352570998,2.1133347378402902,128970,0.0808867450971296,19.062159,0.11581820999999999,10.046976610985277
149.65727888178776,1.6788214779120136,149.65811786164824,1.6786993791235378,21599,-0.05793664913562094,21.783489000000003,0.13452708,3.050861874638898
150.06208425050846,1.9463964315241706,150.0631369167899,1.939676227481947,74429,-0.07852559796993634,22.764219,0.1510845,24.487403968935947
149.48019359241607,2.5178359174201437,149.4788951759637,2.521822777909417,965,-0.03419569418143733,16.347382999999997,0.11432337,15.093269145114077
149.72166162703033,2.002165228266034,149.72134150853196,2.003402811544525,28220,0.10257690651358965,23.239721,0.1481619,4.601756328189108
150.1279120990358,1.5947716192676502,150.12746243465133,1.6011046274468748,80429,0.06728614071354379,18.386908,0.10996610999999999,22.856182384450882
150.00848805416294,1.617100991816129,150.00829852580986,1.624257874408948,67251,-0.02531007105437429,20.168979999999998,0.105,25.77380287838329
