,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
667597,304.0246888888889,-52.086521111111104,88.944,13.97,14.29,12.56,34.68,,1.01,0.04,1.03,,13.98,12.47,,,12.144,11.438,11.128,0.4,50.0,13.97,0.723,0.615,,88.944,11.11,13.735,0.020370000000000003,0.021949,0
667603,196.66915888888886,-38.275593055555554,43.194,13.79,14.12,11.83,33.36,,1.14,0.24,1.17,33.2,13.79,11.71,,,10.853,10.137,9.861,0.8,45.0,13.79,0.831,0.615,33.2,43.194,9.837,13.924,0.01122,0.020305,0
667616,153.45150805555554,18.126178888888887,47.222,14.91,15.5,14.7,33.64,,0.88,0.24,0.89,46.5,14.94,14.62,,,13.846,13.279,13.003,0.7,45.0,14.91,0.512,0.323,46.5,47.222,12.989,14.882,0.011990000000000002,0.023211,0
667638,297.85967999999997,-44.84323499999999,79.667,13.94,14.3,,34.55,,1.2,0.26,1.23,10.1,13.94,,0.32,0.91,11.049,10.309,10.065,0.7,15.0,13.94,1.2,0.588,10.1,79.667,10.041,13.654,0.018890000000000004,0.016587,0
667639,353.4553530555555,30.06035805555555,54.736,12.99,13.69,12.3,33.78,,1.11,0.18,1.13,139.4,12.99,12.14,,,11.597,10.953,10.662,0.8,75.0,12.99,0.998,0.649,139.4,54.736,10.631,13.084,0.012670000000000002,0.011703,0
667658,42.202098888888884,-19.971263888888885,62.389,14.18,14.42,12.18,34.03,,1.17,0.73,1.16,34.3,13.2,12.06,,,11.138,10.348,10.037,0.2,35.0,14.18,1.022,0.184,34.2,62.389,10.014,14.039,0.014750000000000003,0.019443,0
667664,358.48644999999993,28.492694999999998,98.972,14.12,14.43,,35.05,,1.05,0.19,1.08,179.0,14.12,,,,11.212,10.469,10.223,0.7,0.0,14.12,0.707,0.551,179.0,98.972,10.206,14.154,0.023020000000000002,0.020463,0
667671,170.01580805555554,18.356791111111107,20.045,11.7,11.81,,31.81,31.49,1.47,0.18,1.47,156.3,11.7,,0.26,0.76,9.189,8.536,8.25,0.6,-15.0,11.7,2.086,1.544,156.3,20.045,8.243,11.896,0.004980000000000001,0.006682,0
667676,93.6827011111111,-39.06002805555555,69.986,15.82,16.13,13.59,34.34,,1.07,0.81,1.06,11.6,14.58,13.45,,,12.961,12.176,11.801,0.4,15.0,15.82,1.175,0.182,11.6,69.986,11.774,15.471,0.017620000000000004,0.041815,0
667716,243.76171888888885,61.781971111111105,43.194,14.87,14.96,,33.36,,0.52,0.08,0.52,120.0,14.74,,,,12.385,11.735,11.511,0.6,-55.0,14.87,0.24,0.199,120.0,43.194,11.504,15.049,0.009810000000000001,0.020674,0
667743,136.52737388888886,-15.309658055555554,71.139,13.93,14.76,13.32,34.35,,1.12,0.29,1.13,115.3,13.94,13.2,,,13.675,13.112,12.854,0.5,-60.0,13.93,1.318,0.676,115.3,71.139,12.83,15.472,0.01752,0.026846,0
