,RAJ2000,DEJ2000,Dist,Bmag,BmagHyp,ImagHyp,modzHyp,mod0Hyp,logd25Hyp,logr25Hyp,logdcHyp,PAHyp,BmagHypC,ImagHypC,U-BHypC,B-VHypC,Jmag2,Hmag2,Kmag2,a_b,PAK,BmagGWGC,maj,min,PAGWGC,DistGWGC,Kmag2MPZ,Bmag2MPZ,zsp2MPZ,zph2MPZ,Flag
668407,182.8216711111111,32.593983055555555,98.417,15.29,15.8,14.45,35.07,,0.87,0.26,0.86,63.6,15.27,14.42,,,13.245,12.639,12.342,0.6,75.0,15.29,0.741,0.408,63.6,98.417,12.336,14.796,0.023240000000000004,0.024812,0
668408,149.3741761111111,8.124588888888887,88.861,15.24,15.4,13.76,34.9,,0.76,0.23,,144.9,15.18,13.69,,,12.292,11.59,11.324,0.6,-35.0,15.24,0.573,,144.9,88.861,11.311,15.264,0.021710000000000004,0.022118,0
668413,169.44618194444442,75.15622694444444,93.903,15.76,15.66,,35.02,,0.94,0.64,,50.3,15.35,,,,12.916,11.987,11.57,0.2,50.0,15.76,0.63,0.145,50.5,93.903,11.549,15.369,0.022110000000000005,0.030297,0
668435,28.60130111111111,4.803853888888888,74.125,14.67,14.95,,34.39,,1.2,0.53,1.2,96.5,14.67,,,,12.139,11.442,11.158,0.5,-80.0,14.67,1.173,0.399,96.5,74.125,11.14,14.443,0.01734,0.02619,0
668441,344.50753805555553,-33.74220999999999,21.281,12.07,12.33,10.35,31.81,31.8,1.48,0.41,1.47,140.0,11.66,10.32,0.07,0.69,9.348,8.652,8.38,0.4,-40.0,12.07,1.656,0.596,140.0,21.281,8.374,15.719,0.005530000000000001,0.009017,0
668450,197.7353819444444,11.47743611111111,46.292,14.17,14.52,13.18,33.52,,1.15,0.14,1.15,87.1,14.14,13.13,,,12.884,12.21,11.974,0.4,-75.0,14.17,1.12,0.874,87.1,46.292,11.965,14.497,0.011230000000000002,0.013578,0
668464,158.8234711111111,29.447576944444442,89.5,16.58,16.95,15.61,34.87,,0.54,0.14,0.54,21.5,16.58,15.57,,,14.502,13.84,13.548,0.6,30.0,16.58,0.347,0.251,21.5,89.5,13.541,16.479,0.02108,0.035344,0
668485,72.78102888888888,-3.651766944444444,62.139,15.84,16.06,13.76,34.07,,0.87,0.31,0.87,165.6,15.84,13.7,,,13.145,12.505,12.169,0.6,-10.0,15.84,0.741,0.363,165.6,62.139,12.157,15.505,0.015270000000000002,0.018835,0
668502,47.7339711111111,41.13709305555555,66.736,14.68,15.33,,34.24,,1.02,0.14,1.07,108.5,14.68,,,,11.511,10.781,10.538,0.7,-85.0,14.68,0.759,0.546,108.5,66.736,10.489,13.997,0.01572,0.020253,0
668504,20.280906944444443,-26.725946111111107,80.986,13.68,13.82,11.69,34.6,,1.23,0.36,1.23,111.5,13.68,11.66,0.5,0.9,10.819,10.129,9.877,0.5,-65.0,13.68,1.286,0.514,111.5,80.986,9.872,13.54,0.019520000000000003,0.017604,0
668512,46.71659499999999,42.523089999999996,75.764,14.37,15.28,,34.51,,1.09,0.16,1.19,179.0,14.29,,,,11.422,10.715,10.403,0.8,-45.0,14.37,0.889,0.613,179.0,75.764,10.324,13.815,0.01786,0.019015,0
668521,178.09596305555553,-5.673611111111111,77.444,15.19,15.31,13.22,34.59,,1.12,0.63,1.11,129.7,14.13,13.17,,,12.255,11.47,11.094,0.3,-45.0,15.19,0.512,,129.5,77.444,11.083,15.182,0.019030000000000002,0.031951,0
668596,158.56042499999998,13.308213888888886,94.681,16.48,16.6,15.37,34.99,,0.9,0.39,,146.4,16.41,15.32,,,14.372,13.727,13.393,0.7,-40.0,16.48,0.794,0.323,146.4,94.681,13.383,16.427,0.022570000000000003,0.028088,0
668602,258.33807388888886,-9.964909999999998,99.569,15.33,17.76,14.47,35.12,,0.81,0.39,,90.0,15.26,13.4,,,13.132,12.3,11.878,0.6,-80.0,15.33,0.467,0.191,90.0,99.569,11.673,15.675,0.024060000000000005,0.060456,0
668606,344.3147280555555,-10.949903888888887,99.639,14.9,15.19,13.3,35.09,,0.99,0.22,0.99,63.2,14.9,13.22,,,12.618,12.048,11.659,0.7,80.0,14.9,0.977,0.589,63.2,99.639,11.644,14.708,0.024110000000000003,0.022761,0
668626,21.381144999999997,32.13627194444444,66.667,13.63,14.37,12.15,34.21,,1.2,0.55,1.2,31.0,13.63,12.04,0.09,0.79,11.108,10.376,10.062,0.4,30.0,13.63,1.582,0.475,31.0,66.667,10.04,13.872,0.015540000000000002,0.020072,0
668650,140.95002694444443,2.112878055555555,98.0,15.07,15.49,14.54,35.09,,0.88,0.11,0.89,,15.07,14.46,,,13.508,12.785,12.377,0.6,-65.0,15.07,0.63,0.63,,98.0,12.361,15.09,0.024040000000000002,0.028867,0
668662,194.05487111111108,-11.524386944444442,57.361,16.45,16.68,14.9,33.91,,0.77,0.34,,37.0,16.41,14.8,,,14.299,13.682,13.35,0.5,45.0,16.45,0.589,0.269,37.0,57.361,13.331,16.187,,0.042434,0
668667,110.02696999999999,53.01015111111111,83.111,14.28,14.88,13.23,34.75,,1.05,0.14,1.07,94.6,14.29,13.08,,,13.053,12.368,12.18,0.4,80.0,14.28,0.757,0.674,94.6,83.111,12.152,14.815,,0.032805,0
668699,180.70176694444442,21.145528888888887,99.139,16.0,16.14,14.72,35.08,,0.94,0.66,0.92,21.7,14.92,14.67,,,13.213,12.42,12.064,0.4,20.0,16.0,0.871,0.191,20.4,99.139,12.055,15.795,0.023390000000000005,0.049258,0
668703,8.39962111111111,23.39778694444444,73.139,14.81,15.53,13.95,34.42,,0.91,0.34,0.91,129.8,14.81,13.89,,,13.457,12.808,12.541,0.4,-25.0,14.81,0.813,0.372,129.8,73.139,12.53,14.83,,0.023914,0
668707,348.7180480555555,-37.855461111111104,34.778,14.38,14.38,,32.91,,0.93,0.12,0.93,156.8,14.16,,,,12.504,11.82,11.604,0.7,-10.0,14.38,0.587,0.434,156.8,34.778,11.598,14.175,0.009420000000000001,0.017773,0
668708,70.61163305555554,-13.95903111111111,54.944,15.06,15.9,14.43,33.8,,0.8,0.3,0.86,172.0,15.06,14.08,,,13.376,12.815,12.425,0.5,-15.0,15.06,0.631,0.316,172.0,54.944,12.36,15.058,0.013600000000000003,0.025784,0
668718,141.36750805555553,-6.07851111111111,88.264,14.85,15.09,12.54,34.83,,0.94,0.33,0.94,67.0,14.85,12.48,,,11.658,10.959,10.737,0.6,65.0,14.85,0.871,0.408,67.0,88.264,10.725,14.713,0.021340000000000005,0.021081,0
668732,214.59445194444442,-28.23714805555555,96.569,15.13,15.37,13.16,35.0,,1.02,0.35,1.03,35.7,14.65,13.05,,,12.195,11.468,11.124,0.7,25.0,15.13,1.047,0.468,35.7,96.569,11.104,15.011,0.023220000000000005,0.030345,0
668764,347.23171999999994,-30.85789694444444,26.303,14.04,14.83,12.98,31.7,32.1,1.27,0.76,1.25,149.6,13.65,12.93,,,12.185,11.482,11.169,0.2,-30.0,14.04,1.41,0.183,149.6,26.303,11.159,14.425,0.005380000000000001,0.027864,0
668776,166.660645,53.367011944444435,89.819,14.84,15.0,13.36,34.92,,1.05,0.26,1.04,179.2,14.53,13.34,,,11.747,10.913,10.485,0.2,0.0,14.84,0.793,0.174,179.2,89.819,10.481,14.62,0.021360000000000004,0.021569,0
668792,107.92787888888887,72.16920499999999,42.167,14.76,15.04,,33.3,,1.24,0.0,1.27,,14.76,,,,14.353,13.838,13.547,0.7,-40.0,14.76,1.316,1.316,,42.167,13.525,15.345,,0.016017,0
668829,349.81512499999997,-22.650554999999997,81.458,14.37,14.47,12.96,34.65,,1.02,0.38,1.02,80.8,13.81,12.9,,,12.513,11.921,11.642,0.7,-85.0,14.37,1.072,0.447,80.8,81.458,11.632,14.003,0.019930000000000003,0.018832,0
668830,35.375721111111105,15.761643055555554,55.819,14.2,15.04,,33.82,,0.97,0.12,1.03,90.0,14.21,,,,12.098,11.391,11.066,0.9,-5.0,14.2,0.601,0.475,90.0,55.819,11.001,14.302,0.013330000000000002,0.016022,0
668834,49.19104805555555,40.330054999999994,76.014,15.14,16.51,14.3,34.34,,0.9,0.48,0.96,174.1,15.31,13.94,,,12.508,11.628,11.253,0.4,0.0,15.14,0.465,,179.0,76.014,11.184,15.121,0.016430000000000004,0.029531,0
668837,193.86109888888888,-20.892786111111107,97.778,15.73,16.11,14.36,35.05,,0.89,0.65,,86.4,15.66,14.19,,,13.048,12.232,11.994,0.3,-85.0,15.73,0.776,0.174,86.4,97.778,11.962,15.432,0.023700000000000002,0.035188,0
668839,16.835874999999998,-36.755198888888884,54.417,14.46,14.66,13.06,33.71,,0.92,0.23,0.92,17.4,14.27,13.04,,,12.412,11.739,11.415,0.6,0.0,14.46,0.575,0.345,17.4,54.417,11.41,14.806,0.013220000000000003,0.029103,0
668868,188.53686499999998,-0.3552511111111111,92.611,14.41,14.88,13.38,34.98,,0.95,0.23,0.96,50.9,14.4,13.33,,,12.568,11.909,11.625,0.7,-75.0,14.41,0.723,0.658,50.9,92.611,11.615,14.385,0.022500000000000003,0.020262,0
668871,12.147623888888887,-12.716601944444443,89.569,13.79,13.98,13.09,34.81,,0.91,0.41,0.9,8.5,13.78,13.04,,,12.736,12.182,11.947,0.8,30.0,13.79,0.536,0.386,8.5,89.569,11.938,14.188,0.021090000000000005,0.010395,0
668884,182.59223888888886,-32.513083888888886,90.569,15.51,15.82,14.58,34.9,,0.83,0.34,,161.0,15.44,14.44,,,14.132,13.51,13.333,0.7,-15.0,15.51,0.676,0.309,161.0,90.569,13.306,15.339,,0.025527,0
668918,181.31140111111108,38.23546194444444,98.403,14.71,15.07,,35.12,,1.0,0.15,1.0,155.7,14.71,,,,11.993,11.302,11.053,0.6,15.0,14.71,0.675,0.499,155.7,98.403,11.046,18.025,0.023550000000000005,0.025447,0
668935,226.13195805555551,17.315213888888888,87.917,14.39,14.54,13.41,34.85,,1.04,0.13,1.05,110.2,14.14,13.35,,,12.418,11.693,11.393,0.4,70.0,14.39,0.63,0.63,110.2,87.917,11.381,14.312,0.020930000000000004,0.021207,0
668937,188.43749999999997,10.995709999999999,17.722,13.93,14.2,16.93,31.32,,1.21,0.46,1.2,124.8,13.93,16.87,0.3,0.74,11.455,10.807,10.594,0.3,-55.0,13.93,1.12,0.392,124.8,17.722,10.583,13.669,0.00404,0.006047,0
668972,268.09509305555554,-74.16474888888888,64.167,14.58,14.89,13.46,34.13,,1.16,0.7,1.16,0.2,13.49,13.32,,,13.309,12.75,12.062,0.3,15.0,14.58,1.445,0.289,0.2,64.167,12.036,16.817,0.01624,0.077617,0
668995,159.31469694444442,-41.62764388888888,34.674,11.9,12.33,11.0,32.87,32.68,1.4,0.27,1.42,82.3,11.56,10.85,-0.12,0.45,10.071,9.413,9.101,0.6,90.0,11.9,1.657,0.862,82.3,34.674,9.073,11.912,0.009460000000000001,0.005067,0
669033,303.73443611111105,-20.01438305555555,66.75,16.11,16.54,14.74,34.23,,0.67,0.31,,5.0,16.06,14.56,,,13.704,13.056,12.679,0.6,-5.0,16.11,0.468,0.229,5.0,66.75,12.643,15.706,0.016170000000000004,0.051058,0
669045,28.670823888888886,6.034924999999999,72.431,14.27,15.59,14.02,34.4,,1.06,0.61,1.06,37.2,14.28,13.91,,,13.014,12.201,11.89,0.2,35.0,14.27,1.148,0.281,37.6,72.431,11.869,15.538,,0.051936,0
669049,120.49374388888887,15.058703888888887,67.417,15.12,15.28,13.86,34.24,,0.91,0.09,0.93,76.5,15.07,13.8,,,12.69,12.017,11.744,0.6,90.0,15.12,0.813,0.661,76.5,67.417,11.732,14.632,0.016040000000000002,0.022895,0
669105,304.51348888888884,-45.51922999999999,70.931,14.49,14.64,12.76,34.3,,0.94,0.05,,146.6,14.44,12.69,,,12.064,11.372,11.184,0.8,-30.0,14.49,0.601,0.511,146.6,70.931,11.171,14.566,0.017390000000000003,0.014394,0
669114,57.003116944444436,33.11158388888889,64.056,11.81,15.23,,33.99,,0.97,0.2,1.48,140.0,11.92,,,,10.384,9.448,9.063,0.5,-50.0,11.81,0.675,0.425,140.0,64.056,8.789,12.941,0.014090000000000002,0.013823,0
669133,195.55355805555553,-14.969881111111109,66.264,13.47,13.85,12.04,34.21,,1.25,0.12,1.27,58.2,13.46,11.94,,,11.091,10.393,10.099,0.9,60.0,13.47,0.998,0.828,58.2,66.264,10.079,13.541,0.016540000000000003,0.014974,0
669168,20.992173888888885,-35.11514305555555,79.306,13.76,14.07,,34.54,,1.25,0.62,1.24,15.0,13.66,,,,10.755,10.037,9.791,0.3,15.0,13.76,1.228,0.282,15.0,79.306,9.781,13.723,0.019340000000000003,0.017752,0
669171,300.8974911111111,-21.806561944444443,80.681,14.83,15.61,13.87,34.65,,0.83,0.03,,,14.77,13.53,,,12.928,12.25,12.079,0.9,-25.0,14.83,0.676,0.631,,80.681,12.013,14.61,0.019530000000000002,0.018964,0
669174,76.24190499999999,-81.31069888888888,65.556,13.76,14.27,12.04,34.13,,1.13,0.35,1.17,3.7,13.77,11.86,0.33,0.88,11.074,10.33,10.031,0.5,5.0,13.76,1.022,0.439,3.7,65.556,9.995,13.909,0.016360000000000003,0.018034,0
669178,176.02264388888887,19.996208055555552,87.944,14.84,15.02,13.57,34.62,,0.98,0.31,0.97,127.2,14.82,13.53,0.36,0.86,12.03,11.366,11.077,0.7,-60.0,14.84,0.575,0.259,127.2,87.944,11.069,14.852,0.018840000000000003,0.026769,0
669184,326.0560611111111,46.621379999999995,49.333,12.71,14.99,,33.56,,1.08,0.35,1.23,27.5,12.71,,,,12.515,11.836,11.533,0.6,80.0,12.71,1.095,0.602,27.5,49.333,11.385,14.091,0.010920000000000001,0.020791,0
669194,175.99249305555554,20.185376944444442,88.958,14.93,15.62,14.66,34.88,,0.89,0.35,0.88,169.0,14.93,14.62,,,13.826,13.244,12.912,0.6,-40.0,14.93,0.456,0.315,169.0,88.958,12.904,15.243,0.021260000000000005,0.028863,0
669196,62.2496761111111,-48.727081111111104,53.5,12.89,14.61,13.11,33.71,,1.42,1.03,1.39,59.4,12.9,13.07,,,12.065,11.169,10.812,0.1,60.0,12.89,1.816,0.236,59.4,53.5,10.804,14.256,0.013570000000000002,0.024955,0
669223,273.6103519444444,10.005533055555555,85.403,14.35,15.17,,34.77,,1.0,0.26,1.07,60.5,14.35,,,,11.174,10.463,10.212,0.5,55.0,14.35,0.89,0.739,60.5,85.403,10.149,14.632,0.02015,0.016062,0
669233,334.0622561111111,-27.402781111111107,78.042,13.95,14.08,11.64,34.47,,1.14,0.2,1.15,68.1,13.9,11.6,,,10.844,10.144,9.874,0.5,65.0,13.95,0.911,0.474,68.1,78.042,9.865,14.061,0.018570000000000003,0.018185,0
669254,26.304309999999997,25.792508888888886,48.069,15.43,15.87,,33.52,,0.76,0.33,0.79,26.0,14.86,,,,14.263,13.622,13.356,0.4,40.0,15.43,0.519,,26.0,48.069,13.319,15.413,,0.014456,0
669275,215.48234611111107,34.80544305555555,46.708,14.96,15.67,14.51,33.44,,0.96,0.45,0.95,22.3,14.87,14.46,,,13.468,12.819,12.643,0.5,25.0,14.96,0.912,0.324,22.3,46.708,12.635,15.137,0.010450000000000001,0.02173,0
669294,194.94712805555554,21.81307611111111,98.444,15.08,15.2,13.42,35.13,,0.98,0.24,0.98,136.1,14.7,13.36,,,11.925,11.172,10.864,0.8,-75.0,15.08,0.63,0.258,136.1,98.444,10.853,14.58,0.023850000000000003,0.024311,0
669300,69.32262388888888,-62.583363055555544,86.569,13.92,14.12,11.95,34.74,,1.23,0.48,1.22,121.9,13.92,11.9,,,11.083,10.372,10.118,0.3,-60.0,13.92,1.173,0.364,121.9,86.569,10.109,13.805,0.021240000000000002,0.018648,0
669302,48.77784305555555,-33.73028194444444,61.472,14.62,15.03,,33.99,,0.97,0.25,0.96,55.0,14.52,,,,12.613,11.924,11.659,0.4,70.0,14.62,0.707,0.438,55.0,61.472,11.651,14.691,0.015200000000000002,0.022926,0
669326,230.84216305555552,12.692558888888888,91.542,15.36,15.54,14.94,34.91,,0.74,0.0,,,15.3,14.86,,,13.794,13.178,12.936,0.8,30.0,15.36,0.55,0.55,,91.542,12.921,15.898,0.021790000000000004,0.029204,0
669335,210.48614499999996,9.533558888888887,79.625,15.42,15.56,14.12,34.6,,0.88,0.29,,39.7,15.37,14.06,,,12.665,11.995,11.791,0.5,45.0,15.42,0.759,0.389,39.7,79.625,11.779,15.397,0.018930000000000002,0.026656,0
669342,24.09892694444444,-46.738524999999996,93.208,15.36,15.32,13.45,34.81,,0.92,0.31,0.92,141.0,14.69,13.42,,,12.649,11.969,11.759,0.7,-45.0,15.36,0.52,,141.0,93.208,11.753,15.108,0.021700000000000004,0.030489,0
669372,151.3956911111111,3.0536499999999998,96.444,15.45,15.55,14.46,35.08,,0.88,0.23,,97.0,15.38,14.41,,,13.491,12.852,12.534,0.7,-60.0,15.45,0.456,0.301,97.0,96.444,12.525,15.045,0.023650000000000004,0.023443,0
669374,20.31551194444444,3.862248055555555,74.431,14.85,15.19,,34.4,,0.96,0.1,0.97,128.0,14.85,,,,13.179,12.426,12.256,0.9,-70.0,14.85,0.775,0.643,128.0,74.431,12.243,14.203,,0.01439,0
669376,158.49658194444442,-30.16789194444444,45.639,13.48,14.83,12.73,33.44,,1.26,0.72,1.26,82.9,13.49,12.62,,,11.504,10.616,10.234,0.2,85.0,13.48,1.2,0.204,82.4,45.639,10.212,16.615,0.011570000000000002,0.020262,0
669379,195.28767388888886,28.359783055555553,97.236,16.14,16.29,14.74,35.04,,0.72,0.16,0.72,142.4,16.14,14.72,,,13.634,12.883,12.645,0.6,-35.0,16.14,0.525,0.363,142.4,97.236,12.642,15.935,0.023010000000000003,0.034501,0
669389,9.64270611111111,-9.11282,52.208,15.46,15.6,13.91,34.71,,0.79,0.02,,,15.4,13.85,,,12.496,11.813,11.574,0.9,0.0,15.46,1.051,,,52.208,11.562,15.225,0.020190000000000003,0.020747,0
669395,176.64347805555553,19.110168055555555,88.653,14.99,15.1,13.44,34.81,,0.95,0.15,0.95,112.0,14.89,13.39,,,11.907,11.182,10.869,0.5,-75.0,14.99,0.213,0.162,112.0,88.653,10.859,15.076,0.020390000000000002,0.025704,0
669401,336.3763730555555,-17.243373888888886,32.167,13.37,13.58,,32.87,,1.15,0.09,1.17,87.1,13.37,,0.39,0.77,10.808,10.15,9.907,1.0,55.0,13.37,1.12,0.93,87.1,32.167,9.892,13.525,0.008560000000000002,0.014648,0
669405,145.70451388888887,-6.7412849999999995,79.736,14.07,15.15,13.23,34.65,,1.19,0.68,1.17,177.2,14.07,13.17,,,12.243,11.398,10.998,0.2,-5.0,14.07,1.582,0.285,178.0,79.736,10.986,14.736,0.019690000000000003,0.032077,0
669412,72.78545388888888,-6.05587,61.486,15.68,16.02,13.6,34.05,,0.82,0.3,0.83,119.3,15.68,13.48,,,12.923,12.179,12.004,0.6,-60.0,15.68,0.661,0.331,119.3,61.486,11.981,15.38,0.015150000000000002,0.016247,0
669451,181.17472805555553,1.602681111111111,85.139,16.86,16.96,15.39,34.75,,0.69,0.32,,95.4,16.8,15.35,,,14.281,13.651,13.257,0.4,-85.0,16.86,0.49,0.235,95.4,85.139,13.249,16.547,0.020300000000000002,0.056201,0
669467,185.18609611111108,-13.805258055555553,58.181,13.64,14.49,,33.97,,1.14,0.33,1.15,119.2,13.64,,,,13.29,12.622,12.321,0.4,-45.0,13.64,1.045,0.575,119.2,58.181,12.301,14.452,0.014430000000000002,0.015145,0
669472,21.400699999999997,34.73654888888888,68.944,16.41,16.69,14.15,34.3,,0.8,0.59,0.81,70.0,16.41,14.06,,,13.643,13.007,12.776,0.7,70.0,16.41,0.631,0.162,70.0,68.944,12.758,16.264,,0.022375,0
669506,205.56059305555553,-31.037106111111108,59.597,13.45,14.51,12.47,33.97,,1.25,0.51,1.26,58.4,13.45,12.36,,,11.606,10.882,10.666,0.4,60.0,13.45,1.778,0.549,58.4,59.597,10.645,14.491,0.014380000000000002,0.021368,0
669515,102.44865388888887,48.50196111111111,81.236,14.74,15.4,,34.69,,0.89,0.14,0.92,106.0,14.74,,,,13.272,12.566,12.295,0.6,-80.0,14.74,0.575,0.448,106.0,81.236,12.261,14.776,,0.020596,0
669524,208.3126069444444,-28.427543888888884,61.639,14.43,14.92,12.6,33.99,,1.07,0.39,1.08,135.5,14.42,12.48,,,11.729,11.036,10.767,0.5,-35.0,14.43,1.175,0.478,135.5,61.639,10.744,14.117,0.014770000000000002,0.02438,0
669525,43.497901944444436,41.793094999999994,74.819,16.03,16.49,,34.87,,0.87,0.45,,165.5,15.97,,,,13.239,12.558,12.255,0.6,-15.0,16.03,0.64,0.224,165.5,74.819,12.216,15.758,,0.018722,0
669527,21.759118888888885,33.95546305555555,59.819,15.25,15.85,14.3,33.95,,0.82,0.24,0.83,26.3,15.25,14.21,,,13.693,12.966,12.729,0.5,30.0,15.25,0.354,0.23,26.3,59.819,12.711,15.093,,0.02267,0
669534,218.65470888888885,-36.28589611111111,53.347,13.0,13.37,10.69,33.87,,1.25,0.14,1.29,94.8,13.0,10.55,,,10.034,9.367,9.12,0.8,90.0,13.0,1.257,0.855,94.8,53.347,9.094,13.059,0.014060000000000001,0.012757,0
669539,299.1825869444444,-31.475306111111106,75.917,13.86,14.75,12.55,34.52,,1.11,0.2,1.17,75.9,13.9,12.21,,,11.462,10.678,10.424,0.5,80.0,13.86,1.288,0.813,75.9,75.917,10.361,13.751,0.018740000000000003,0.019662,0
669551,225.6781011111111,-17.868043888888888,44.903,13.3,14.13,12.5,33.38,,0.99,0.28,1.02,16.8,13.3,12.32,,,12.106,11.518,11.296,0.6,-15.0,13.3,0.869,0.6,16.8,44.903,11.262,13.38,0.010980000000000002,0.012595,0
669570,335.37960805555554,-25.31248694444444,93.736,14.89,16.54,14.91,35.0,,1.08,0.91,1.05,107.1,14.92,14.87,,,14.571,13.792,13.272,0.2,-75.0,14.89,1.202,0.148,107.3,93.736,13.262,16.593,0.022900000000000004,0.061269,0
669572,58.39250194444444,-66.01812694444443,72.556,13.29,13.63,11.09,34.35,,1.14,0.07,1.18,131.3,13.29,10.97,,,10.146,9.436,9.171,0.8,-35.0,13.29,0.89,0.721,131.3,72.556,9.149,13.055,0.017900000000000003,0.013204,0
669578,126.01137499999999,-0.3720230555555555,69.431,15.56,15.75,14.45,34.37,,0.75,0.09,,133.0,15.51,14.36,,,13.748,13.097,12.797,0.8,-55.0,15.56,0.388,0.314,133.0,69.431,12.78,15.265,0.01734,0.020041,0
669587,339.2341311111111,38.54799694444444,75.083,12.88,13.53,,34.52,,1.23,0.03,1.32,,12.88,,,,10.318,9.592,9.302,0.9,70.0,12.88,1.316,1.224,,75.083,9.254,13.163,0.017730000000000003,0.015402,0
669589,191.42602499999998,-26.243721111111107,71.306,12.48,14.18,11.91,34.39,,1.4,0.89,1.39,129.7,12.5,11.76,,,10.721,10.004,9.669,0.2,-50.0,12.48,1.775,0.231,129.8,71.306,9.641,13.433,0.017540000000000004,0.021221,0
669614,75.67613194444444,-25.462623888888885,96.208,15.59,15.85,14.36,35.02,,0.83,0.27,0.84,30.7,15.59,14.29,,,13.943,13.199,13.059,0.6,-20.0,15.59,0.676,0.363,30.7,96.208,13.046,15.475,0.023770000000000003,0.023599,0
669628,286.1935419444444,-47.84873194444444,35.139,13.23,13.55,11.24,32.91,,1.07,0.29,1.1,18.5,13.23,11.12,,,10.504,9.82,9.565,0.4,15.0,13.23,0.83,0.465,18.5,35.139,9.541,13.827,0.009120000000000001,0.011032,0
669630,151.38290388888888,0.61115,84.972,16.3,16.65,14.75,34.75,,0.63,0.2,0.64,46.8,16.3,14.67,,,13.493,12.924,12.588,0.6,50.0,16.3,0.427,0.269,46.8,84.972,12.573,16.217,0.02049,0.046082,0
669641,32.66261305555555,41.518181111111105,75.931,15.0,15.33,,34.49,,0.94,0.57,0.95,110.0,14.5,,,,12.033,11.363,11.123,0.3,-75.0,15.0,0.629,0.164,110.0,75.931,11.095,14.738,0.01769,0.020921,0
669655,84.44827305555555,-22.87794305555555,22.236,15.44,15.59,14.25,31.86,,0.98,0.39,0.98,73.5,15.44,14.2,,,13.687,13.189,12.771,0.5,70.0,15.44,0.955,0.389,73.5,22.236,12.761,15.32,0.0059700000000000005,0.016219,0
669658,171.60328694444442,-36.25956305555555,39.375,14.02,14.51,13.98,33.07,,0.83,0.17,0.87,165.1,14.02,13.78,0.56,0.98,13.634,12.98,12.759,0.7,-15.0,14.02,0.676,0.457,165.1,39.375,12.72,14.984,0.010000000000000002,0.018763,0
669687,190.74348388888887,-40.45691694444444,37.736,14.99,15.54,13.47,33.01,,0.98,0.27,1.02,175.0,14.58,13.23,,,12.768,12.056,11.856,0.7,-25.0,14.99,0.955,0.513,175.0,37.736,11.809,14.794,,0.015286,0
669712,71.75400499999999,-2.1462838888888887,57.611,16.18,16.33,14.65,33.91,,0.87,0.36,,109.0,16.14,14.58,,,14.631,13.842,13.814,0.4,-75.0,16.18,0.741,0.324,109.0,57.611,13.801,15.899,,0.029878,0
669747,199.23055999999997,-17.94494111111111,34.167,15.05,15.44,13.79,32.8,,0.98,0.31,1.0,49.5,15.05,13.64,,,13.01,12.314,12.08,0.8,25.0,15.05,0.955,0.468,49.5,34.167,12.05,14.876,0.008300000000000002,0.013114,0
669751,273.5875238888889,10.10744611111111,84.931,14.67,15.48,,34.81,,0.79,0.04,0.9,,14.67,,,,11.718,11.014,10.728,0.8,-60.0,14.67,0.793,0.722,,84.931,10.667,14.823,0.020510000000000004,0.023158,0
669779,336.70199611111104,35.51868805555555,86.764,12.99,13.99,,34.78,,1.2,0.22,1.25,162.4,12.99,,,,10.774,10.081,9.742,0.6,-50.0,12.99,1.146,0.928,162.4,86.764,9.688,13.685,0.02006,0.0203,0
669792,23.166343888888886,-12.042778055555553,73.694,14.77,14.99,12.46,34.39,,0.88,0.06,0.89,86.5,14.78,12.42,,,11.634,11.014,10.704,0.6,-80.0,14.77,0.793,0.658,86.5,73.694,10.694,14.26,0.017660000000000002,0.025044,0
669794,246.0623469444444,-61.094868055555544,85.792,14.14,15.3,,34.74,,0.93,0.27,1.01,65.0,14.14,,,,11.346,10.626,10.312,0.6,55.0,14.14,0.571,0.32,65.0,85.792,10.23,14.326,0.021010000000000004,0.02291,0
669806,20.882188888888887,1.959836111111111,75.625,16.47,16.6,,34.24,,0.69,0.17,,7.5,16.42,,,,14.096,13.395,13.219,0.7,10.0,16.47,0.512,,7.5,75.625,13.208,16.33,,0.046477,0
669809,22.499394999999996,40.973793055555554,22.387,13.76,14.28,12.96,33.16,31.75,1.05,0.14,1.07,52.4,13.72,12.83,,,13.364,12.737,12.58,0.8,50.0,13.76,1.316,0.908,52.4,22.387,12.555,14.673,0.009360000000000002,0.014966,0
669823,11.584516944444443,-38.6818811111111,91.722,14.79,15.2,14.29,34.91,,0.89,0.22,0.89,179.5,14.71,14.26,,,13.831,13.218,13.018,0.5,-15.0,14.79,0.776,0.468,179.5,91.722,13.013,15.486,0.022840000000000003,0.013267,0
669853,144.7831569444444,34.006195,61.028,13.14,13.46,12.62,34.11,,1.22,0.1,1.23,149.2,13.14,12.57,,0.49,12.16,11.497,11.218,0.8,85.0,13.14,1.656,1.225,149.2,61.028,11.207,13.164,0.014720000000000002,0.010293,0
669859,139.63577305555555,35.001598055555554,98.028,15.6,15.66,14.16,35.07,,0.81,0.03,,,15.53,14.13,,,12.756,12.134,11.729,0.8,75.0,15.6,0.646,0.603,,98.028,11.724,15.552,0.023130000000000005,0.027508,0
669901,180.97997999999998,-29.624614999999995,28.0,14.88,15.23,14.07,32.34,,0.93,0.18,0.96,125.2,14.59,13.91,,,13.731,13.008,12.985,0.7,-45.0,14.88,0.851,0.563,125.2,28.0,12.955,14.837,0.007130000000000001,0.013645,0
