,ra,dec,half_light,VLT_FORS2_g
3,326.1017384049412,-40.899770981484835,0.4588694288846243,25.295416226898787
7,326.10536506959295,-40.90023897057736,1.308629402252822,21.319568710654345
8,326.1041861057634,-40.90018023308346,0.8146825597093574,24.27283794698262
9,326.1062370058806,-40.899278597444855,0.5012468764186274,25.474827995725136
